Number,Height,TopCentreBottom,Azimuth,Elevation,Latitude,Longitude
0,WinterSolsticeSun,Bottom,131.497089744095,-0.390558793032266,52.9784894101479,-5.6517336841195
1,WinterSolsticeSun,Centre,130.955230433829,-0.390781600686586,52.9816823815207,-5.64701468097572
2,WinterSolsticeSun,Top,130.419147056015,-0.389822265882098,52.9848521557509,-5.64241678321984
3,WinterSolsticeSun,Top,223.049680976163,2.70902168642553,53.2263888888889,-6.29694444444444
4,WinterSolsticeSun,Centre,222.377434751425,2.7418570177112,53.2286111111111,-6.29166666666667
5,WinterSolsticeSun,Bottom,221.65823479745,2.79277418944681,53.2277777777778,-6.29111111111111
6,SummerSolsticeSun,Bottom,46.2438580352692,-0.198158762720808,53.3702777777778,-6.055
7,SummerSolsticeSun,Centre,45.7148019450464,-0.181251561838347,53.3711111111111,-6.05638888888889
8,SummerSolsticeSun,Top,45.0453560429969,-0.223779663621934,53.3694444444444,-6.06305555555556
9,SummerSolsticeSun,Top,314.914260325128,-0.206246704903483,53.5258333333333,-6.63138888888889
10,SummerSolsticeSun,Centre,314.379405533135,-0.222583665924583,53.5133333333333,-6.61722222222222
11,SummerSolsticeSun,Bottom,313.850360266066,-0.239869664529964,53.5163888888889,-6.63055555555556
12,EquinoxSun,Bottom,89.0505541552234,-0.390736621428039,53.2844675918002,-5.45810702362984
13,EquinoxSun,Centre,88.6037965522716,-0.391081080229389,53.2880182053694,-5.45816686206254
14,EquinoxSun,Top,88.1570388412853,-0.391372730706007,53.2915026884103,-5.45827096332991
15,EquinoxSun,Top,271.468772284776,-0.159843287214387,53.2841666666667,-6.5525
16,EquinoxSun,Centre,271.055453287485,-0.180139258940572,53.2827777777778,-6.55388888888889
17,EquinoxSun,Bottom,270.622088130298,-0.188021865910775,53.2811111111111,-6.53388888888889
18,MoonMinusEMinusI,Bottom,145.802860948177,-0.0814853548293074,53.2277777777778,-6.15555555555556
19,MoonMinusEMinusI,Bottom,145.782762998859,-0.0884522787581826,53.2275,-6.15527777777778
20,MoonMinusEMinusI,Bottom,145.776064088474,-0.0907751673770178,53.2277777777778,-6.15555555555556
21,MoonMinusEMinusI,Centre,145.065832665881,-0.106358421664365,53.1736111111111,-6.09111111111111
22,MoonMinusEMinusI,Top,144.756305895717,0.017555472638454,53.1738888888889,-6.09
23,MoonMinusEMinusI,Top,202.19292760537,4.1691627572525,53.24,-6.24111111111111
24,MoonMinusEMinusI,Centre,201.475958438423,4.09177985215359,53.2383333333333,-6.24138888888889
25,MoonMinusEMinusI,Bottom,200.669452059005,4.0309947590793,53.2380555555556,-6.24027777777778
26,MoonMinusEPlusI,Bottom,123.014678101616,-0.390897353869523,53.03139139951,-5.58373945888663
27,MoonMinusEPlusI,Centre,122.529927228086,-0.389689052804614,53.0345803171784,-5.58026084110625
28,MoonMinusEPlusI,Top,122.044639628794,-0.389744182304225,53.0377866677303,-5.57682656736792
29,MoonMinusEPlusI,Top,233.068036045314,2.2171255270996,53.2536111111111,-6.27194444444444
30,MoonMinusEPlusI,Centre,232.411602013515,2.29329415910267,53.2533333333333,-6.27111111111111
31,MoonMinusEPlusI,Bottom,231.707686228569,2.39229661665676,53.2530555555556,-6.27
32,MoonMinusEPlusI,Bottom,231.70084107195,2.39596658325496,53.2533333333333,-6.26972222222222
33,MoonMinusEPlusI,Bottom,231.687150049428,2.40330658986143,53.2533333333333,-6.26972222222222
34,MoonPlusEMinusI,Bottom,57.6547734316308,-0.391095012301805,53.5195525783107,-5.5718988526427
35,MoonPlusEMinusI,Centre,57.1694867462673,-0.390300192278126,53.5227838503578,-5.57530635441033
36,MoonPlusEMinusI,Top,56.6847400663355,-0.388231781935735,53.5259978197673,-5.57876010467495
37,MoonPlusEMinusI,Top,302.994653564373,-0.221897276235814,53.4688888888889,-6.70666666666667
38,MoonPlusEMinusI,Centre,302.496553331659,-0.216077301041759,53.4463888888889,-6.65611111111111
39,MoonPlusEMinusI,Bottom,301.991243244784,-0.205427713433906,53.4427777777778,-6.65555555555556
40,MoonPlusEPlusI,Bottom,35.9401927634075,-0.390658722497718,53.6445362006562,-5.76667693362525
41,MoonPlusEPlusI,Centre,35.2888367842603,-0.390996047261961,53.6475866812605,-5.7737701428348
42,MoonPlusEPlusI,Top,34.6321854198016,-0.390038769709528,53.6505505400095,-5.78083211863066
