Number,Height,TopCentreBottom,Azimuth,Elevation,Latitude,Longitude
0,WinterSolsticeSun,Bottom,132.368089091675,0.217062215930976,52.8083333333333,-6.57
1,WinterSolsticeSun,Centre,131.700384616686,0.158424326408462,52.7405555555556,-6.44027777777778
2,WinterSolsticeSun,Top,131.111378643512,0.134793365807467,52.7416666666667,-6.43583333333333
3,WinterSolsticeSun,Top,228.868747279375,0.144290187549069,52.7691666666667,-7.04138888888889
4,WinterSolsticeSun,Centre,228.312866434323,0.15214328548568,52.7663888888889,-7.04111111111111
5,WinterSolsticeSun,Bottom,227.751208319954,0.160969056829826,52.7630555555556,-7.04166666666667
6,SummerSolsticeSun,Bottom,49.741387362791,1.26863217654358,52.9536111111111,-6.69055555555556
7,SummerSolsticeSun,Centre,49.1261567554076,1.22574859203217,52.9541666666667,-6.69083333333333
8,SummerSolsticeSun,Top,48.6107298981328,1.23633680287215,52.955,-6.69055555555556
9,SummerSolsticeSun,Top,48.590935481191,1.22620422214424,52.955,-6.69055555555556
10,SummerSolsticeSun,Top,48.590935481191,1.22620422214424,52.955,-6.69055555555556
11,SummerSolsticeSun,Top,314.039036854448,-0.0326978833985041,52.9272222222222,-6.78361111111111
12,SummerSolsticeSun,Centre,313.684592925782,-0.124991879125304,52.9269444444444,-6.78388888888889
13,SummerSolsticeSun,Bottom,313.329437969362,-0.216366510051422,52.9269444444444,-6.78388888888889
14,EquinoxSun,Bottom,90.7125920728303,0.655321181871116,52.9122222222222,-6.36611111111111
15,EquinoxSun,Centre,90.3390456288319,0.700338640914271,52.9138888888889,-6.36694444444444
16,EquinoxSun,Top,89.9987356567902,0.767362258633382,52.9152777777778,-6.36722222222222
17,EquinoxSun,Top,270.892094727882,0.191937382967827,52.9186111111111,-7.13555555555556
18,EquinoxSun,Centre,270.418822539848,0.211569335115355,52.9169444444444,-7.135
19,EquinoxSun,Bottom,269.965496154293,0.218574060888358,52.915,-7.13583333333333
20,MoonMinusEMinusI,Bottom,146.766830518118,0.509085088728623,52.7591666666667,-6.595
21,MoonMinusEMinusI,Centre,145.600034594133,0.333997443855868,52.7722222222222,-6.60194444444444
22,MoonMinusEMinusI,Top,144.941924898831,0.334431883393982,52.7733333333333,-6.59944444444444
23,MoonMinusEMinusI,Top,215.901038258087,0.0262724168995837,52.255,-7.54305555555556
24,MoonMinusEMinusI,Centre,215.209604098948,0.0428535855323324,52.2475,-7.53194444444444
25,MoonMinusEMinusI,Bottom,214.739859765442,-0.0230885417633837,52.2402777777778,-7.52694444444444
