Number,Height,TopCentreBottom,Azimuth,Elevation,Latitude,Longitude
0,WinterSolsticeSun,Bottom,134.355492162885,1.01690953984412,52.965,-6.48
1,WinterSolsticeSun,Centre,133.988269370696,1.11114603597146,52.9655555555556,-6.47694444444444
2,WinterSolsticeSun,Top,133.653896987924,1.22111555715922,52.9661111111111,-6.47444444444444
3,WinterSolsticeSun,Top,228.624480577014,0.133712226340457,52.9402777777778,-7.17472222222222
4,WinterSolsticeSun,Centre,228.12835039374,0.111184731432775,52.9394444444444,-7.16944444444444
5,WinterSolsticeSun,Bottom,227.619781992483,0.0931727815066533,52.9352777777778,-7.17027777777778
6,SummerSolsticeSun,Bottom,46.6750691070185,-0.0822651580195299,53.2897222222222,-6.53277777777778
7,SummerSolsticeSun,Centre,46.2263979270329,-0.0318593206046334,53.2902777777778,-6.53583333333333
8,SummerSolsticeSun,Top,45.5103486049443,-0.0986388639546573,53.2925,-6.53833333333333
9,SummerSolsticeSun,Top,45.4969277788558,-0.104547917388479,53.2925,-6.53833333333333
10,SummerSolsticeSun,Top,45.4902170312158,-0.107501720618685,53.2922222222222,-6.53888888888889
11,SummerSolsticeSun,Top,314.677624236445,-0.18120805132851,53.2280555555556,-6.92527777777778
12,SummerSolsticeSun,Centre,314.12926894921,-0.189919015162688,53.2261111111111,-6.925
13,SummerSolsticeSun,Bottom,313.566567976714,-0.190490793132099,53.2266666666667,-6.92861111111111
14,EquinoxSun,Bottom,90.8667815141785,0.752577436969,53.1427777777778,-6.44055555555556
15,EquinoxSun,Centre,90.5134497994941,0.812307133645951,53.1441666666667,-6.44194444444444
16,EquinoxSun,Top,90.1667806051486,0.876642680479503,53.1452777777778,-6.4425
17,EquinoxSun,Top,271.633749170965,-0.266156461968269,53.1583333333333,-7.69166666666667
18,EquinoxSun,Centre,271.187013441589,-0.264980458117323,53.1538888888889,-7.59388888888889
19,EquinoxSun,Bottom,270.660250128095,-0.214055397389848,53.1494444444444,-7.56583333333333
20,MoonMinusEMinusI,Bottom,148.0976602562,0.800741940640559,52.9488888888889,-6.58361111111111
21,MoonMinusEMinusI,Centre,147.779701513171,0.935446427441778,52.9502777777778,-6.5825
22,MoonMinusEMinusI,Top,146.789834572381,0.833473475277701,52.9541666666667,-6.57861111111111
23,MoonMinusEMinusI,Top,215.505599124927,0.0140465213830158,52.8941666666667,-7.08527777777778
24,MoonMinusEMinusI,Centre,214.981418712647,-0.0325486218489141,52.8913888888889,-7.08277777777778
25,MoonMinusEMinusI,Bottom,214.244440071241,-0.00651330341505249,52.8905555555556,-7.07583333333333
26,MoonMinusEMinusI,Bottom,214.210964502524,0.00516871345963777,52.8908333333333,-7.075
27,MoonMinusEMinusI,Bottom,214.197572840568,0.00984011122084664,52.8908333333333,-7.075
28,MoonMinusEPlusI,Bottom,125.704844738291,1.07792694681775,53.0138888888889,-6.48166666666667
29,MoonMinusEPlusI,Centre,125.260506062432,1.10862418426229,53.0161111111111,-6.48194444444444
30,MoonMinusEPlusI,Top,124.781839352769,1.11987760674169,53.0186111111111,-6.48222222222222
31,MoonMinusEPlusI,Top,237.254119527208,0.0365956145660912,52.9580555555556,-7.27111111111111
32,MoonMinusEPlusI,Centre,236.735378646635,0.0528478427703867,52.9583333333333,-7.26111111111111
33,MoonMinusEPlusI,Bottom,236.17033633161,0.0918611109358372,52.955,-7.25916666666667
34,MoonPlusEMinusI,Bottom,58.9464846471198,0.236069063093202,53.2586111111111,-6.475
35,MoonPlusEMinusI,Centre,58.4014334511206,0.200220397351108,53.2605555555556,-6.47638888888889
36,MoonPlusEMinusI,Top,57.7838285788227,0.127106906507983,53.2619444444444,-6.48
37,MoonPlusEMinusI,Top,302.688348791689,-0.121884478546729,53.2,-6.92722222222222
38,MoonPlusEMinusI,Centre,301.904205344938,0.0368620053489274,53.1997222222222,-6.93027777777778
39,MoonPlusEMinusI,Centre,301.904205344938,0.0368620053489274,53.1997222222222,-6.93027777777778
40,MoonPlusEMinusI,Centre,301.890908294232,0.0439263698868979,53.1997222222222,-6.93027777777778
41,MoonPlusEMinusI,Bottom,301.007050690755,0.261304942799279,53.1988888888889,-6.93305555555556
42,MoonPlusEPlusI,Bottom,36.594271063752,-0.239359372122512,53.5697222222222,-6.25694444444444
43,MoonPlusEPlusI,Centre,35.9296158071849,-0.249023509355465,53.5752777777778,-6.26277777777778
