"URL,C,54","NAME,C,80","TYPEID,N,9,0","TYPE,C,60","MAP_REF,C,9","LONGITUDE,N,9,6","LATITUDE,N,9,6","COUNTY,C,35","ACCURACY,N,9,0","CONDITION,N,9,0","AMBIENCE,N,9,0","ACCESS,N,9,0","IMAGE,C,9","COLOUR,C,9"
,CLONASILLAGH ME010-041----,,Passage Tomb,,-7.02919686,53.77139762,MEATH,,,,,,
,NEWTOWN ME015-003001-,,Passage Tomb,,-7.13351748,53.74352968,MEATH,,,,,,
,NEWTOWN ME015-003002-,,Passage Tomb,,-7.13432452,53.74335578,MEATH,,,,,,
,NEWTOWN ME015-003003-,,Passage Tomb,,-7.1344064,53.74305981,MEATH,,,,,,
,NEWTOWN ME015-003005-,,Passage Tomb,,-7.13527812,53.74268866,MEATH,,,,,,
,NEWTOWN ME015-003006-,,Passage Tomb,,-7.13396055,53.74262523,MEATH,,,,,,
,NEWTOWN ME015-003007-,,Passage Tomb,,-7.13734116,53.74262265,MEATH,,,,,,
,NEWTOWN ME015-003010-,,Passage Tomb,,-7.13387072,53.74330756,MEATH,,,,,,
,LOUGHCREW ME015-003012-,,Passage Tomb,,-7.13720523,53.74185781,MEATH,,,,,,
,CORSTOWN ME015-011----,,Passage Tomb,,-7.11593023,53.74289799,MEATH,,,,,,
,CORSTOWN ME015-012001-,,Passage Tomb,,-7.11199088,53.74495377,MEATH,,,,,,
,CORSTOWN ME015-012002-,,Passage Tomb,,-7.11062704,53.74492568,MEATH,,,,,,
,CORSTOWN ME015-012003-,,Passage Tomb,,-7.1127681,53.74476182,MEATH,,,,,,
,CORSTOWN ME015-012004-,,Passage Tomb,,-7.11231487,53.74468657,MEATH,,,,,,
,CORSTOWN ME015-012005-,,Passage Tomb,,-7.11150052,53.74448283,MEATH,,,,,,
,CORSTOWN ME015-012007-,,Passage Tomb,,-7.1130072,53.74420641,MEATH,,,,,,
,THOMASTOWN ME015-111----,,Passage Tomb,,-7.07790992,53.72905059,MEATH,,,,,,
,KNOWTH ME019-030001-,,Passage Tomb,,-6.49140427,53.7012175,MEATH,,,,,,
,KNOWTH ME019-030002-,,Passage Tomb,,-6.49112045,53.70068367,MEATH,,,,,,
,KNOWTH ME019-030003-,,Passage Tomb,,-6.49137556,53.7007498,MEATH,,,,,,
,KNOWTH ME019-030004-,,Passage Tomb,,-6.49199945,53.70066778,MEATH,,,,,,
,KNOWTH ME019-030005-,,Passage Tomb,,-6.4923103,53.70086941,MEATH,,,,,,
,KNOWTH ME019-030006-,,Passage Tomb,,-6.49228778,53.70107584,MEATH,,,,,,
,KNOWTH ME019-030007-,,Passage Tomb,,-6.4938844,53.7008982,MEATH,,,,,,
,KNOWTH ME019-030008-,,Passage Tomb,,-6.49217506,53.70126315,MEATH,,,,,,
,KNOWTH ME019-030009-,,Passage Tomb,,-6.49244371,53.70137438,MEATH,,,,,,
,KNOWTH ME019-030010-,,Passage Tomb,,-6.49228782,53.70149824,MEATH,,,,,,
,KNOWTH ME019-030011-,,Passage Tomb,,-6.49217767,53.70161369,MEATH,,,,,,
,KNOWTH ME019-030012-,,Passage Tomb,,-6.49203757,53.70171978,MEATH,,,,,,
,KNOWTH ME019-030013-,,Passage Tomb,,-6.49149417,53.701668,MEATH,,,,,,
,KNOWTH ME019-030014-,,Passage Tomb,,-6.49128158,53.70168329,MEATH,,,,,,
,KNOWTH ME019-030015-,,Passage Tomb,,-6.49094885,53.70167011,MEATH,,,,,,
,KNOWTH ME019-030016-,,Passage Tomb,,-6.49094014,53.70149026,MEATH,,,,,,
,KNOWTH ME019-030017-,,Passage Tomb,,-6.49071563,53.70141553,MEATH,,,,,,
,KNOWTH ME019-030018-,,Passage Tomb,,-6.49058163,53.70135093,MEATH,,,,,,
,KNOWTH ME019-030076-,,Passage Tomb,,-6.49044342,53.70098071,MEATH,,,,,,
,KNOWTH ME019-030077-,,Passage Tomb,,-6.49174467,53.70059267,MEATH,,,,,,
,KNOWTH ME019-030078-,,Passage Tomb,,-6.48986077,53.70160248,MEATH,,,,,,
,NEWGRANGE ME019-044003-,,Passage Tomb,,-6.47402905,53.69460739,MEATH,,,,,,
,NEWGRANGE ME019-044004-,,Passage Tomb,,-6.47448087,53.69467606,MEATH,,,,,,
,NEWGRANGE ME019-045----,,Passage Tomb,,-6.47553879,53.69473447,MEATH,,,,,,
,NEWGRANGE ME019-046001-,,Passage Tomb,,-6.47754586,53.69450835,MEATH,,,,,,
,NEWGRANGE ME019-046003-,,Passage Tomb,,-6.47710594,53.69452972,MEATH,,,,,,
,DOWTH ME020-012----,,Passage Tomb,,-6.44086081,53.70537848,MEATH,,,,,,
,DOWTH ME020-013----,,Passage Tomb,,-6.44075663,53.70491877,MEATH,,,,,,
,DOWTH ME020-017----,,Passage Tomb,,-6.45053577,53.70384136,MEATH,,,,,,
,ARDMULCHAN ME025-006----,,Passage Tomb,,-6.60988267,53.68251979,MEATH,,,,,,
,GORMANSTON ME028-020----,,Passage Tomb,,-6.21718579,53.63458934,MEATH,,,,,,
,GORMANSTON ME028-021----,,Passage Tomb,,-6.21342331,53.63523428,MEATH,,,,,,
,TARA ME031-033007-,,Passage Tomb,,-6.61160108,53.57959047,MEATH,,,,,,
,FOURKNOCKS ME033-028001-,,Passage Tomb,,-6.32646618,53.59657672,MEATH,,,,,,
,"MULLYASH,TAVANSKEA MO015-007----",,Passage Tomb,,-6.66940492,54.17420708,MONAGHAN,,,,,,
,SHEEGEERAGH RO028-134----,,Passage Tomb,,-8.23219634,53.75211612,ROSCOMMON,,,,,,
,SHEEGEERAGH RO028-135----,,Passage Tomb,,-8.23226784,53.75133417,ROSCOMMON,,,,,,
,SCREGG RO042-090----,,Passage Tomb,,-8.11122265,53.54778426,ROSCOMMON,,,,,,
,ARDNAGLASS UPPER SL005-091----,,Passage Tomb,,-8.48121413,54.37756941,SLIGO,,,,,,
,AUGHRIS SL012-017001-,,Passage Tomb,,-8.78316467,54.26841127,SLIGO,,,,,,
,KILRUSHEIGHTER SL012-126----,,Passage Tomb,,-8.7916783,54.26166124,SLIGO,,,,,,
,FARRANYHARPY SL012-127----,,Passage Tomb,,-8.74636412,54.24531755,SLIGO,,,,,,
,KNOCKNAREA SOUTH SL014-076001-,,Passage Tomb,,-8.57454221,54.25994415,SLIGO,,,,,,
,KNOCKNAREA SOUTH SL014-076003-,,Passage Tomb,,-8.57455617,54.25874,SLIGO,,,,,,
,KNOCKNAREA SOUTH SL014-076005-,,Passage Tomb,,-8.5744098,54.25814764,SLIGO,,,,,,
,KNOCKNAREA SOUTH SL014-076006-,,Passage Tomb,,-8.57488255,54.25792973,SLIGO,,,,,,
,KNOCKNAREA SOUTH SL014-076007-,,Passage Tomb,,-8.57429926,54.25792353,SLIGO,,,,,,
,KNOCKNAREA SOUTH SL014-076019-,,Passage Tomb,,-8.57190655,54.25581428,SLIGO,,,,,,
,GRANGE NORTH SL014-088----,,Passage Tomb,,-8.55364836,54.25729229,SLIGO,,,,,,
,BARNASRAHY SL014-096002-,,Passage Tomb,,-8.52296486,54.2654445,SLIGO,,,,,,
,TOBERNAVEEN SL014-110----,,Passage Tomb,,-8.51386767,54.25848378,SLIGO,,,,,,
,CARROWMORE SL014-112----,,Passage Tomb,,-8.51537502,54.25628484,SLIGO,,,,,,
,CARROWMORE SL014-115----,,Passage Tomb,,-8.51487096,54.25524466,SLIGO,,,,,,
,CARROWMORE SL014-209001-,,Passage Tomb,,-8.51997511,54.25108934,SLIGO,,,,,,
,CARROWMORE SL014-209002-,,Passage Tomb,,-8.51977688,54.25118904,SLIGO,,,,,,
,CARROWMORE SL014-209004-,,Passage Tomb,,-8.5191964,54.25139821,SLIGO,,,,,,
,CARROWMORE SL014-209006-,,Passage Tomb,,-8.51858747,54.25178722,SLIGO,,,,,,
,CARROWMORE SL014-209007-,,Passage Tomb,,-8.51726465,54.25276335,SLIGO,,,,,,
,CARROWMORE SL014-209008-,,Passage Tomb,,-8.51633432,54.25199457,SLIGO,,,,,,
,CARROWMORE SL014-209016-,,Passage Tomb,,-8.52005158,54.24984899,SLIGO,,,,,,
,CARROWMORE SL014-209017-,,Passage Tomb,,-8.52073684,54.24943269,SLIGO,,,,,,
,CARROWMORE SL014-209018-,,Passage Tomb,,-8.52033655,54.24932659,SLIGO,,,,,,
,CARROWMORE SL014-209020-,,Passage Tomb,,-8.51816397,54.24983016,SLIGO,,,,,,
,CARROWMORE SL014-209021-,,Passage Tomb,,-8.518408,54.2497123,SLIGO,,,,,,
,CARROWMORE SL014-209022-,,Passage Tomb,,-8.5185654,54.24880407,SLIGO,,,,,,
,CARROWMORE SL014-209025-,,Passage Tomb,,-8.51718883,54.25038247,SLIGO,,,,,,
,CARROWMORE SL014-209027-,,Passage Tomb,,-8.51590734,54.25098102,SLIGO,,,,,,
,CARROWMORE SL014-209028-,,Passage Tomb,,-8.51538419,54.25086644,SLIGO,,,,,,
,CARROWMORE SL014-209030-,,Passage Tomb,,-8.51483786,54.25012297,SLIGO,,,,,,
,CARROWMORE SL014-209031-,,Passage Tomb,,-8.51471164,54.24984495,SLIGO,,,,,,
,CARROWMORE SL014-209032-,,Passage Tomb,,-8.51397663,54.24873386,SLIGO,,,,,,
,CARROWMORE SL014-209036-,,Passage Tomb,,-8.52137202,54.24748005,SLIGO,,,,,,
,CARROWMORE SL014-209038-,,Passage Tomb,,-8.52016073,54.24754818,SLIGO,,,,,,
,CARROWMORE SL014-209044-,,Passage Tomb,,-8.51320166,54.24810816,SLIGO,,,,,,
,CARROWMORE SL014-209046-,,Passage Tomb,,-8.51330661,54.24791003,SLIGO,,,,,,
,CARROWMORE SL014-209048-,,Passage Tomb,,-8.51350015,54.24743297,SLIGO,,,,,,
,CARROWMORE SL014-209049-,,Passage Tomb,,-8.51452421,54.2471141,SLIGO,,,,,,
,GRAIGUE SL014-209067-,,Passage Tomb,,-8.51762941,54.2439019,SLIGO,,,,,,
,CARROWMORE SL014-209068-,,Passage Tomb,,-8.51676213,54.24448071,SLIGO,,,,,,
,CARROWMORE SL014-209073-,,Passage Tomb,,-8.51419389,54.24522852,SLIGO,,,,,,
,CARNS (Duke) SL014-231----,,Passage Tomb,,-8.4563033,54.25335994,SLIGO,,,,,,
,CARNS (Carbury By.) SL014-232----,,Passage Tomb,,-8.45032499,54.25536824,SLIGO,,,,,,
,ABBEYQUARTER NORTH SL014-266----,,Passage Tomb,,-8.4607665,54.26966088,SLIGO,,,,,,
,CARROWHUBBUCK SOUTH SL016-015----,,Passage Tomb,,-9.08915563,54.21648615,SLIGO,,,,,,
,CARROWHUBBUCK SOUTH SL016-016----,,Passage Tomb,,-9.08815781,54.21644125,SLIGO,,,,,,
,BARNABRACK SL019-132----,,Passage Tomb,,-8.63150878,54.21833375,SLIGO,,,,,,
,"MULLANASHEE,RATHOSEY SL019-177----",,Passage Tomb,,-8.59915894,54.19414746,SLIGO,,,,,,
,TAWNATROHAUN SL019-258----,,Passage Tomb,,-8.74160338,54.19800951,SLIGO,,,,,,
,CARROWNAMADDOO SL020-128----,,Passage Tomb,,-8.44996342,54.21650656,SLIGO,,,,,,
,CARROWNAMADDOO SL020-129----,,Passage Tomb,,-8.45413969,54.21425345,SLIGO,,,,,,
,GLEN (Leyny By.) SL020-181----,,Passage Tomb,,-8.560251,54.19524224,SLIGO,,,,,,
,UNION SL020-274----,,Passage Tomb,,-8.48157439,54.21222399,SLIGO,,,,,,
,UNION SL020-275----,,Passage Tomb,,-8.48285875,54.21193131,SLIGO,,,,,,
,KNOCKNASHEE COMMON SL032-013002-,,Passage Tomb,,-8.67899082,54.11988682,SLIGO,,,,,,
,KNOCKNASHEE COMMON SL032-013003-,,Passage Tomb,,-8.67730345,54.12053433,SLIGO,,,,,,
,ARDLOY SL034-109----,,Passage Tomb,,-8.40220178,54.09784757,SLIGO,,,,,,
,HEAPSTOWN SL034-128----,,Passage Tomb,,-8.34850103,54.09502278,SLIGO,,,,,,
,BARROE NORTH SL034-155----,,Passage Tomb,,-8.30191756,54.08823856,SLIGO,,,,,,
,CARROWREAGH SL036-001001-,,Passage Tomb,,-8.94675114,54.06107018,SLIGO,,,,,,
,CARNAWEELEEN SL040-006001-,,Passage Tomb,,-8.43322567,54.06741249,SLIGO,,,,,,
,DRUMNAGRANSHY SL040-008----,,Passage Tomb,,-8.43931059,54.06206177,SLIGO,,,,,,
,TREANMACMURTAGH SL040-016001-,,Passage Tomb,,-8.41160848,54.05813406,SLIGO,,,,,,
,CARROWKEEL SL040-086----,,Passage Tomb,,-8.38530052,54.05741247,SLIGO,,,,,,
,CARROWKEEL SL040-087----,,Passage Tomb,,-8.38513035,54.05717938,SLIGO,,,,,,
,CARROWKEEL SL040-088----,,Passage Tomb,,-8.37870782,54.05632814,SLIGO,,,,,,
,CARROWKEEL SL040-089----,,Passage Tomb,,-8.37772793,54.05606164,SLIGO,,,,,,
,CARROWKEEL SL040-090001-,,Passage Tomb,,-8.37785967,54.05543222,SLIGO,,,,,,
,CARROWKEEL SL040-093----,,Passage Tomb,,-8.37734445,54.05419378,SLIGO,,,,,,
,CARROWKEEL SL040-094----,,Passage Tomb,,-8.37772535,54.05409374,SLIGO,,,,,,
,CARROWKEEL SL040-095----,,Passage Tomb,,-8.3835654,54.05309579,SLIGO,,,,,,
,CARROWKEEL SL040-096----,,Passage Tomb,,-8.38340976,54.05111938,SLIGO,,,,,,
,TREANSCRABBAGH SL040-097001-,,Passage Tomb,,-8.39058956,54.0530013,SLIGO,,,,,,
,DOONAVEERAGH SL040-099----,,Passage Tomb,,-8.36812218,54.05443802,SLIGO,,,,,,
,CARRICKNAHORNA EAST SL040-101----,,Passage Tomb,,-8.37410766,54.05089707,SLIGO,,,,,,
,CARRICKNAHORNA EAST SL040-102----,,Passage Tomb,,-8.37365821,54.05016162,SLIGO,,,,,,
,SHROUGH TS073-007----,,Passage Tomb,,-8.23272892,52.42694112,TIPPERARY,,,,,,
,CARRIGLONG WA017-057----,,Passage Tomb,,-7.13692255,52.19452835,WATERFORD,,,,,,
,MATTHEWSTOWN WA026-003----,,Passage Tomb,,-7.22721716,52.17590903,WATERFORD,,,,,,
,HARRISTOWN WA027-007----,,Passage Tomb,,-7.01223446,52.18420184,WATERFORD,,,,,,
,LACKAN WI005-092----,,Passage Tomb,,-6.47329916,53.14793705,WICKLOW,,,,,,
,SCURLOCKSLEAP WI006-003----,,Passage Tomb,,-6.39481633,53.18624618,WICKLOW,,,,,,
,BLAKESTOWN UPPER WI009-028----,,Passage Tomb,,-6.57474976,53.10641154,WICKLOW,,,,,,
,TORNANT UPPER WI015-036----,,Passage Tomb,,-6.69668642,53.04304177,WICKLOW,,,,,,
,TUCKMILL HILL WI027-026003-,,Passage Tomb,,-6.68340026,52.94700129,WICKLOW,,,,,,
