"URL,C,54","NAME,C,80","TYPEID,N,9,0","TYPE,C,60","MAP_REF,C,9","LONGITUDE,N,9,6","LATITUDE,N,9,6","COUNTY,C,35","ACCURACY,N,9,0","CONDITION,N,9,0","AMBIENCE,N,9,0","ACCESS,N,9,0","IMAGE,C,9","COLOUR,C,9"
99999,RAVENSDALE PARK LH004-004----,21,Viewpoint,,-6.32153316,54.0792273,LOUTH,0,5,0,5,,tg
99999,KILLIN LH006-015001-,21,Viewpoint,,-6.45924866,54.03056393,LOUTH,0,5,0,5,,tg
99999,TOWNLEYHALL LH024-008002-,21,Viewpoint,,-6.45118679,53.72116841,LOUTH,0,5,0,5,,tg
99999,DEERPARK LI049-077----,21,Viewpoint,,-8.32505397,52.40705681,LIMERICK,0,5,0,5,,tg
99999,CARROWREAGH MA031-056----,21,Viewpoint,,-9.06358541,54.1092039,MAYO,0,5,0,5,,tg
99999,PATRICKSTOWN ME009-071001-,21,Viewpoint,,-7.09838624,53.74735049,MEATH,0,5,0,5,,tg
99999,PATRICKSTOWN ME009-071002-,21,Viewpoint,,-7.09832887,53.74719728,MEATH,0,5,0,5,,tg
99999,PATRICKSTOWN ME009-071003-,21,Viewpoint,,-7.09842367,53.74701826,MEATH,0,5,0,5,,tg
99999,CLONASILLAGH ME010-041----,21,Viewpoint,,-7.02919686,53.77139762,MEATH,0,5,0,5,,tg
99999,NEWTOWN ME015-003001-,21,Viewpoint,,-7.13351748,53.74352968,MEATH,0,5,0,5,,tg
99999,NEWTOWN ME015-003002-,21,Viewpoint,,-7.13432452,53.74335578,MEATH,0,5,0,5,,tg
99999,NEWTOWN ME015-003003-,21,Viewpoint,,-7.1344064,53.74305981,MEATH,0,5,0,5,,tg
99999,NEWTOWN ME015-003005-,21,Viewpoint,,-7.13527812,53.74268866,MEATH,0,5,0,5,,tg
99999,NEWTOWN ME015-003006-,21,Viewpoint,,-7.13396055,53.74262523,MEATH,0,5,0,5,,tg
99999,NEWTOWN ME015-003007-,21,Viewpoint,,-7.13734116,53.74262265,MEATH,0,5,0,5,,tg
99999,NEWTOWN ME015-003010-,21,Viewpoint,,-7.13387072,53.74330756,MEATH,0,5,0,5,,tg
99999,LOUGHCREW ME015-003012-,21,Viewpoint,,-7.13720523,53.74185781,MEATH,0,5,0,5,,tg
99999,CORSTOWN ME015-011----,21,Viewpoint,,-7.11593023,53.74289799,MEATH,0,5,0,5,,tg
99999,CORSTOWN ME015-012001-,21,Viewpoint,,-7.11199088,53.74495377,MEATH,0,5,0,5,,tg
99999,CORSTOWN ME015-012002-,21,Viewpoint,,-7.11062704,53.74492568,MEATH,0,5,0,5,,tg
99999,CORSTOWN ME015-012003-,21,Viewpoint,,-7.1127681,53.74476182,MEATH,0,5,0,5,,tg
99999,CORSTOWN ME015-012004-,21,Viewpoint,,-7.11231487,53.74468657,MEATH,0,5,0,5,,tg
99999,CORSTOWN ME015-012005-,21,Viewpoint,,-7.11150052,53.74448283,MEATH,0,5,0,5,,tg
99999,CORSTOWN ME015-012007-,21,Viewpoint,,-7.1130072,53.74420641,MEATH,0,5,0,5,,tg
99999,THOMASTOWN ME015-111----,21,Viewpoint,,-7.07790992,53.72905059,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030001-,21,Viewpoint,,-6.49140427,53.7012175,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030002-,21,Viewpoint,,-6.49112045,53.70068367,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030003-,21,Viewpoint,,-6.49137556,53.7007498,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030004-,21,Viewpoint,,-6.49199945,53.70066778,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030005-,21,Viewpoint,,-6.4923103,53.70086941,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030006-,21,Viewpoint,,-6.49228778,53.70107584,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030007-,21,Viewpoint,,-6.4938844,53.7008982,MEATH,0,5,0,5,,tg
99999,KNOWTH ME019-030008-,21,Viewpoint,,-6.49217506,53.70126315,MEATH,0,5,0,5,,tg
