Number,Height,TopCentreBottom,Azimuth,Elevation,Latitude,Longitude
0,WinterSolsticeSun,Bottom,143.744849697434,5.37583486216177,52.9922222222222,-6.62555555555556
1,WinterSolsticeSun,Centre,143.253351878861,5.4552148003003,52.9922222222222,-6.62555555555556
2,WinterSolsticeSun,Top,142.767695846194,5.53532987770437,52.9922222222222,-6.62555555555556
3,WinterSolsticeSun,Top,224.249249599152,2.33596092415371,52.9925,-6.62694444444444
4,WinterSolsticeSun,Centre,223.611701658311,2.36143947530613,52.9925,-6.62694444444444
5,WinterSolsticeSun,Bottom,222.975087049901,2.38350273500639,52.9925,-6.62694444444444
6,SummerSolsticeSun,Bottom,61.2526916060765,8.4344065001698,52.9958333333333,-6.6175
7,SummerSolsticeSun,Centre,60.8581325721571,8.48506700006802,52.9958333333333,-6.61777777777778
8,SummerSolsticeSun,Top,60.49551956942,8.55813884489669,52.9958333333333,-6.61777777777778
9,SummerSolsticeSun,Top,306.429221775538,4.07006761676438,52.9933333333333,-6.62722222222222
10,SummerSolsticeSun,Centre,305.957796914064,4.05138432085077,52.9933333333333,-6.62722222222222
11,SummerSolsticeSun,Bottom,305.472737216682,4.04212805639813,52.9933333333333,-6.62722222222222
12,EquinoxSun,Bottom,102.352400033285,8.92714323822861,52.9927777777778,-6.62527777777778
13,EquinoxSun,Centre,101.907196414874,8.93670263967772,52.9927777777778,-6.62527777777778
14,EquinoxSun,Top,101.468780019219,8.95060832761432,52.9927777777778,-6.62527777777778
15,EquinoxSun,Top,266.384113167391,3.27668564953356,52.9927777777778,-6.62722222222222
16,EquinoxSun,Centre,266.030222170369,3.21165082549108,52.9927777777778,-6.62722222222222
17,EquinoxSun,Bottom,265.669701124432,3.15135037410194,52.9927777777778,-6.62722222222222
18,MoonMinusEMinusI,Bottom,167.296972648631,5.85919406585081,52.9922222222222,-6.62611111111111
19,MoonMinusEMinusI,Centre,166.62722805186,6.01371335060018,52.9922222222222,-6.62611111111111
20,MoonMinusEMinusI,Top,165.976253872041,6.16675089375374,52.9922222222222,-6.62611111111111
21,MoonMinusEMinusI,Top,165.454607208003,6.07913996511162,52.9919444444444,-6.62583333333333
22,MoonMinusEMinusI,Centre,164.778366305205,5.70238217448062,52.9919444444444,-6.62583333333333
23,MoonMinusEMinusI,Bottom,164.086214214527,5.31725289958155,52.9919444444444,-6.62583333333333
24,MoonMinusEMinusI,Bottom,164.086214214527,5.31725289958155,52.9919444444444,-6.62583333333333
25,MoonMinusEMinusI,Bottom,164.07187347246,5.31456024706414,52.9919444444444,-6.62583333333333
26,MoonMinusEMinusI,Bottom,160.710577239805,4.61708767101129,52.9922222222222,-6.62583333333333
27,MoonMinusEMinusI,Centre,160.060639230133,4.72624602897557,52.9922222222222,-6.62583333333333
28,MoonMinusEMinusI,Top,159.422559695337,4.83419817648077,52.9922222222222,-6.62583333333333
29,MoonMinusEMinusI,Top,207.055461573667,3.03367625332426,52.9925,-6.62694444444444
30,MoonMinusEMinusI,Centre,206.072097588067,3.07679373261318,52.9925,-6.62694444444444
31,MoonMinusEMinusI,Bottom,205.062717297989,3.11770455087689,52.9925,-6.62694444444444
32,MoonMinusEPlusI,Bottom,136.397318188569,6.74188728224874,52.9925,-6.62555555555556
33,MoonMinusEPlusI,Centre,135.996732497927,6.83415530941887,52.9925,-6.62555555555556
34,MoonMinusEPlusI,Top,135.609639964438,6.93206957139508,52.9925,-6.62555555555556
35,MoonMinusEPlusI,Top,233.868888461068,1.94251615601036,52.9925,-6.62694444444444
36,MoonMinusEPlusI,Centre,233.328950635938,1.96079466153068,52.9925,-6.62694444444444
37,MoonMinusEPlusI,Bottom,232.775984692749,1.98452137726335,52.9925,-6.62694444444444
38,MoonPlusEMinusI,Bottom,70.9867423346884,8.16787612541267,52.9930555555556,-6.62527777777778
39,MoonPlusEMinusI,Centre,70.5034241923377,8.13383989547923,52.9930555555556,-6.62527777777778
40,MoonPlusEMinusI,Top,70.0206164145856,8.10068612972439,52.9930555555556,-6.62527777777778
41,MoonPlusEMinusI,Top,294.37217526224,4.96891905532339,52.9930555555556,-6.62722222222222
42,MoonPlusEMinusI,Centre,293.982485498484,4.92843074196303,52.9930555555556,-6.62722222222222
43,MoonPlusEMinusI,Bottom,293.598867496282,4.88412869969358,52.9930555555556,-6.62722222222222
44,MoonPlusEPlusI,Bottom,54.9747887022694,9.46764726766809,52.9963888888889,-6.61833333333333
45,MoonPlusEPlusI,Centre,54.5939852333673,9.52568252615529,52.9963888888889,-6.61833333333333
46,MoonPlusEPlusI,Top,54.213785577518,9.5846693676103,52.9963888888889,-6.61833333333333
47,MoonPlusEPlusI,Top,314.600387717817,4.24330859127654,52.9933333333333,-6.62722222222222
48,MoonPlusEPlusI,Centre,314.0912694329,4.23362697867062,52.9933333333333,-6.62722222222222
49,MoonPlusEPlusI,Bottom,313.581167956455,4.2261830467006,52.9933333333333,-6.62722222222222
50,CrossQuarterSun1,Bottom,73.1088778322875,8.31752479643687,52.9930555555556,-6.62527777777778
51,CrossQuarterSun1,Centre,72.6055581212614,8.27713585648754,52.9930555555556,-6.62527777777778
52,CrossQuarterSun1,Top,72.1091672495402,8.24231649478021,52.9930555555556,-6.62527777777778
53,CrossQuarterSun1,Top,292.718218869773,4.79166888918653,52.9930555555556,-6.62722222222222
54,CrossQuarterSun1,Centre,292.31557932657,4.75192815074123,52.9930555555556,-6.62722222222222
55,CrossQuarterSun1,Bottom,291.912569300274,4.71285387431145,52.9930555555556,-6.62722222222222
56,CrossQuarterSun2,Bottom,132.337979604686,7.7196800060439,52.9925,-6.62555555555556
57,CrossQuarterSun2,Centre,131.93515419669,7.80928063776267,52.9925,-6.62555555555556
58,CrossQuarterSun2,Top,131.545833120132,7.90508981207092,52.9925,-6.62555555555556
59,CrossQuarterSun2,Top,239.68965628683,1.52726340730727,52.9925,-6.62722222222222
60,CrossQuarterSun2,Centre,239.18300798019,1.53546057266074,52.9925,-6.62722222222222
61,CrossQuarterSun2,Bottom,238.663432707909,1.55001843014088,52.9925,-6.62722222222222
