Number,Height,TopCentreBottom,Azimuth,Elevation,Latitude,Longitude
0,WinterSolsticeSun,Bottom,141.764935947553,4.45136917672892,53.0827777777778,-6.58888888888889
1,WinterSolsticeSun,Centre,141.015302895583,4.4086662978263,53.0833333333333,-6.58888888888889
2,WinterSolsticeSun,Top,140.098066676045,4.28626078270528,53.0836111111111,-6.58833333333333
3,WinterSolsticeSun,Top,226.702262360189,1.07573968537839,53.0808333333333,-6.65722222222222
4,WinterSolsticeSun,Centre,226.106044700835,1.09262762358548,53.0802777777778,-6.6575
5,WinterSolsticeSun,Bottom,225.524138563156,1.10045363226483,53.08,-6.65694444444444
6,SummerSolsticeSun,Bottom,48.7769772461933,0.884936622614585,53.2186111111111,-6.39722222222222
7,SummerSolsticeSun,Centre,48.2542487247197,0.89467838957063,53.2180555555556,-6.40222222222222
8,SummerSolsticeSun,Top,47.6859182185488,0.883630318215219,53.2191666666667,-6.40444444444444
9,SummerSolsticeSun,Top,47.6726438958237,0.877135627180092,53.2191666666667,-6.40444444444444
10,SummerSolsticeSun,Top,47.6726438958237,0.877135627180092,53.2133333333333,-6.41527777777778
11,SummerSolsticeSun,Top,314.44903166105,-0.105654217811029,53.1061111111111,-6.62
12,SummerSolsticeSun,Centre,313.847012432404,-0.0892743492093784,53.1061111111111,-6.62
13,SummerSolsticeSun,Bottom,313.250805969025,-0.0733127821051884,53.1061111111111,-6.62027777777778
14,SummerSolsticeSun,Bottom,313.250805969025,-0.0733127821051884,53.1061111111111,-6.62
15,SummerSolsticeSun,Bottom,313.230695740764,-0.0642454891705377,53.1061111111111,-6.62
16,EquinoxSun,Bottom,94.3827253071525,3.17666606758996,53.1016666666667,-6.57111111111111
17,EquinoxSun,Centre,93.9354495977043,3.17574106727073,53.1019444444444,-6.57111111111111
18,EquinoxSun,Top,93.5015349226164,3.1841736332365,53.1022222222222,-6.57138888888889
19,EquinoxSun,Top,270.393365456393,0.51233493331009,53.1038888888889,-6.6675
20,EquinoxSun,Centre,269.953349497408,0.509635083188087,53.1036111111111,-6.6675
21,EquinoxSun,Bottom,269.519997946347,0.502651249123602,53.1036111111111,-6.66833333333333
22,MoonMinusEMinusI,Bottom,153.033492640851,2.45087437915816,53.0427777777778,-6.56472222222222
23,MoonMinusEMinusI,Centre,152.426558863749,2.51813656306924,53.0433333333333,-6.56388888888889
24,MoonMinusEMinusI,Top,151.74869468486,2.55937595067453,53.0438888888889,-6.56277777777778
25,MoonMinusEMinusI,Top,213.298664508075,0.833488542279803,53.0713888888889,-6.65166666666667
