Number,Height,TopCentreBottom,Azimuth,Elevation,Latitude,Longitude
0,WinterSolsticeSun,Bottom,132.341277954535,0.167438162756308,52.7925,-6.50666666666667
1,WinterSolsticeSun,Centre,131.87910136752,0.206406638214188,52.7944444444444,-6.50444444444444
2,WinterSolsticeSun,Top,131.44929785067,0.259838991897379,52.7966666666667,-6.50361111111111
3,WinterSolsticeSun,Top,228.915502215832,0.0860446001507471,52.8611111111111,-7.07722222222222
4,WinterSolsticeSun,Centre,228.379492302156,0.0842785099922087,52.8597222222222,-7.07555555555556
5,WinterSolsticeSun,Bottom,227.850956429201,0.0774403963371392,52.8577777777778,-7.075
6,SummerSolsticeSun,Bottom,47.6258273266671,0.259288407906947,53.2144444444444,-6.42138888888889
7,SummerSolsticeSun,Centre,46.9164282733756,0.18601750057718,53.2352777777778,-6.39416666666667
8,SummerSolsticeSun,Centre,46.9030789667657,0.179874471758246,53.2352777777778,-6.39416666666667
9,SummerSolsticeSun,Centre,46.8964039807164,0.176804268421093,53.235,-6.39527777777778
10,SummerSolsticeSun,Top,46.1743801331779,0.101578804985919,53.0888888888889,-6.6625
11,SummerSolsticeSun,Top,314.649057157916,-0.265398150014239,53.2416666666667,-7.29027777777778
12,SummerSolsticeSun,Centre,314.080540443602,-0.264108782845549,53.2577777777778,-7.32722222222222
13,SummerSolsticeSun,Bottom,313.537949310597,-0.272565769567736,53.23,-7.28666666666667
14,EquinoxSun,Bottom,91.8708077241968,1.42775165534884,52.9736111111111,-6.46555555555556
15,EquinoxSun,Centre,91.4040850717491,1.41172737506188,52.9752777777778,-6.46861111111111
16,EquinoxSun,Top,90.8974370846378,1.36847101461352,52.9775,-6.46861111111111
17,EquinoxSun,Top,270.945717873537,0.159166662472807,52.9841666666667,-7.12833333333333
18,EquinoxSun,Centre,270.552264702398,0.127917497974967,52.9830555555556,-7.12833333333333
19,EquinoxSun,Bottom,270.125538950951,0.117679695894784,52.9816666666667,-7.13388888888889
20,MoonMinusEMinusI,Bottom,146.404774629654,0.335198353949757,52.7561111111111,-6.60166666666667
21,MoonMinusEMinusI,Centre,145.681002608105,0.316823399144381,52.7583333333333,-6.59722222222222
22,MoonMinusEMinusI,Top,144.607414245459,0.167270502880523,52.7602777777778,-6.58916666666667
23,MoonMinusEMinusI,Top,144.594025055954,0.162401919057515,52.7602777777778,-6.58916666666667
24,MoonMinusEMinusI,Top,144.587330777512,0.159967525150389,52.7716666666667,-6.6025
25,MoonMinusEMinusI,Top,214.930142193565,0.3351241527019,52.8258333333333,-7.02888888888889
26,MoonMinusEMinusI,Centre,214.272034859233,0.333563088026231,52.8247222222222,-7.02555555555556
27,MoonMinusEMinusI,Bottom,213.548248534294,0.351646490421077,52.8327777777778,-7.01222222222222
28,MoonMinusEPlusI,Bottom,124.383707448273,0.460067284842684,52.9413888888889,-6.75111111111111
29,MoonMinusEPlusI,Centre,124.019524638413,0.527692189864732,52.9419444444444,-6.75111111111111
30,MoonMinusEPlusI,Top,123.681673557168,0.609309652201803,52.9422222222222,-6.75111111111111
31,MoonMinusEPlusI,Top,237.195134394994,0.142647901211435,52.8833333333333,-7.10111111111111
32,MoonMinusEPlusI,Centre,236.64301587805,0.177403898534703,52.8911111111111,-7.07611111111111
