Number,Height,TopCentreBottom,Azimuth,Elevation,Latitude,Longitude
0,WinterSolsticeSun,Bottom,179.610661254237,12.7027484651916,53.1183333333333,-6.50277777777778
1,WinterSolsticeSun,Bottom,173.188009266073,12.444734952078,53.1180555555556,-6.50277777777778
2,WinterSolsticeSun,Centre,172.435741978011,12.6505403715734,53.1180555555556,-6.50277777777778
3,WinterSolsticeSun,Top,171.710758620636,12.8529584274788,53.1180555555556,-6.50277777777778
4,WinterSolsticeSun,Top,197.688408528456,11.4917598500188,53.1183333333333,-6.50305555555556
5,WinterSolsticeSun,Centre,196.949091028119,11.3650417370922,53.1183333333333,-6.50305555555556
6,WinterSolsticeSun,Bottom,196.204960043069,11.2338218554184,53.1183333333333,-6.50305555555556
7,WinterSolsticeSun,Bottom,195.000204454406,11.4449333091952,53.1180555555556,-6.50305555555556
8,WinterSolsticeSun,Centre,194.471684369921,11.8009803677681,53.1180555555556,-6.50305555555556
9,WinterSolsticeSun,Top,193.946690419873,12.1528811166244,53.1180555555556,-6.50305555555556
10,WinterSolsticeSun,Top,181.034294629666,13.2282328235226,53.1183333333333,-6.50277777777778
11,WinterSolsticeSun,Centre,180.335884122093,12.9682243031796,53.1183333333333,-6.50277777777778
12,SummerSolsticeSun,Bottom,61.0605983773054,8.35133163646995,53.1191666666667,-6.50166666666667
13,SummerSolsticeSun,Centre,60.5274894357394,8.30851163501853,53.1191666666667,-6.50166666666667
14,SummerSolsticeSun,Top,59.9951261781032,8.26738737719,53.1191666666667,-6.50166666666667
15,SummerSolsticeSun,Top,300.250938575145,8.10067110825926,53.1191666666667,-6.50361111111111
16,SummerSolsticeSun,Centre,299.775573822737,8.10227264714087,53.1191666666667,-6.50361111111111
17,SummerSolsticeSun,Bottom,299.31850945635,8.09226595004432,53.1191666666667,-6.50361111111111
18,EquinoxSun,Bottom,102.939148496771,9.30149337754832,53.1186111111111,-6.50166666666667
19,EquinoxSun,Centre,102.514041623412,9.32720495149596,53.1186111111111,-6.50166666666667
20,EquinoxSun,Top,102.075200231873,9.34273355209111,53.1186111111111,-6.50166666666667
21,EquinoxSun,Top,252.247025224098,13.2769320247064,53.1186111111111,-6.50333333333333
22,EquinoxSun,Centre,251.914985470079,13.1774772018813,53.1186111111111,-6.50333333333333
23,EquinoxSun,Bottom,251.569153944773,13.0870474340836,53.1186111111111,-6.50333333333333
24,MoonMinusEPlusI,Bottom,162.721958486132,15.3514638819362,53.1180555555556,-6.50277777777778
25,MoonMinusEPlusI,Bottom,162.520684324095,15.3140925822771,53.1180555555556,-6.50222222222222
26,MoonMinusEPlusI,Bottom,149.362967097264,11.9015929885521,53.1183333333333,-6.50222222222222
27,MoonMinusEPlusI,Centre,148.772157805333,11.9764883317092,53.1183333333333,-6.50222222222222
28,MoonMinusEPlusI,Top,148.195271178229,12.0532859575765,53.1183333333333,-6.50222222222222
29,MoonMinusEPlusI,Top,142.25812311639,9.81159538994779,53.1183333333333,-6.50222222222222
30,MoonMinusEPlusI,Centre,142.256666518762,9.53174039621595,53.1183333333333,-6.50222222222222
31,MoonMinusEPlusI,Centre,142.042495090579,9.44329873860811,53.1183333333333,-6.50194444444444
32,MoonMinusEPlusI,Top,141.466979336881,9.48307671577653,53.1183333333333,-6.50194444444444
33,MoonMinusEPlusI,Top,216.574962520128,10.2834068367787,53.1183333333333,-6.50333333333333
