Number,Height,TopCentreBottom,Azimuth,Elevation,Latitude,Longitude
0,WinterSolsticeSun,Bottom,136.441730963218,2.11067880744534,52.9877777777778,-6.58777777777778
1,WinterSolsticeSun,Centre,135.839204407324,2.10177969435911,52.9877777777778,-6.58777777777778
2,WinterSolsticeSun,Top,135.242503543965,2.0931515942657,52.9877777777778,-6.58777777777778
3,WinterSolsticeSun,Top,222.655484065795,3.10209622745497,52.9641666666667,-6.625
4,WinterSolsticeSun,Centre,222.051421635606,3.10296468009559,52.9638888888889,-6.62472222222222
5,WinterSolsticeSun,Bottom,221.373083658395,3.13543394886585,52.9638888888889,-6.62388888888889
6,SummerSolsticeSun,Bottom,54.6690424979262,4.12638216723124,53.0075,-6.54277777777778
7,SummerSolsticeSun,Centre,54.3516045293613,4.23752203643357,53.0088888888889,-6.54
8,SummerSolsticeSun,Top,54.0668160600277,4.36906213876613,53.0088888888889,-6.54055555555556
9,SummerSolsticeSun,Top,308.015815338906,3.12764661589747,53.0025,-6.61916666666667
10,SummerSolsticeSun,Centre,307.389192107113,3.19457468304122,53.0022222222222,-6.61916666666667
11,SummerSolsticeSun,Bottom,306.813760291018,3.23378505252563,53.0019444444444,-6.61944444444444
12,EquinoxSun,Bottom,96.1144705176759,4.4355605100623,52.9808333333333,-6.47444444444444
13,EquinoxSun,Centre,95.532746383365,4.33780894556077,52.9813888888889,-6.47388888888889
14,EquinoxSun,Top,94.9110631245853,4.21071546413514,52.9822222222222,-6.47388888888889
15,EquinoxSun,Top,268.483387015981,1.79340835159618,52.9880555555556,-6.59
16,EquinoxSun,Centre,268.049879115336,1.78657892538583,52.9880555555556,-6.59
17,EquinoxSun,Bottom,267.629693184642,1.7704636032394,52.9880555555556,-6.59
18,MoonMinusEMinusI,Bottom,174.057239291052,6.6072859351357,52.9519444444444,-6.58222222222222
19,MoonMinusEMinusI,Bottom,171.526557241423,6.39215262196818,52.9527777777778,-6.57972222222222
20,MoonMinusEMinusI,Bottom,171.526557241423,6.39215262196818,52.9527777777778,-6.57972222222222
21,MoonMinusEMinusI,Bottom,171.497433997892,6.38923681098919,52.9527777777778,-6.57972222222222
22,MoonMinusEMinusI,Bottom,159.972776612879,4.4508225986107,52.9502777777778,-6.56555555555556
23,MoonMinusEMinusI,Centre,159.066892660267,4.49201897035383,52.9502777777778,-6.56444444444444
24,MoonMinusEMinusI,Top,158.130116961551,4.51677465048099,52.9508333333333,-6.56361111111111
25,MoonMinusEMinusI,Top,207.569135752433,2.87573300391029,52.9613888888889,-6.61166666666667
26,MoonMinusEMinusI,Centre,207.064544664015,2.77592067405966,52.9611111111111,-6.61138888888889
27,MoonMinusEMinusI,Bottom,206.589262900021,2.66520869167771,52.9608333333333,-6.61111111111111
28,MoonMinusEPlusI,Bottom,129.011958136784,2.95909207688197,52.9527777777778,-6.51611111111111
29,MoonMinusEPlusI,Centre,128.684423297933,3.06531398321379,52.9530555555556,-6.51611111111111
30,MoonMinusEPlusI,Top,128.349480331146,3.16728489072203,52.9533333333333,-6.51555555555556
31,MoonMinusEPlusI,Top,230.714502818112,3.67704620122123,52.9675,-6.63055555555556
32,MoonMinusEPlusI,Centre,230.262898694134,3.63493356665172,52.9672222222222,-6.63055555555556
33,MoonMinusEPlusI,Bottom,229.777447655749,3.60978522615937,52.9666666666667,-6.63055555555556
34,MoonPlusEMinusI,Bottom,64.8480593189885,3.81818121224198,53.0177777777778,-6.48305555555556
35,MoonPlusEMinusI,Centre,64.3488527747146,3.78664102450166,53.0183333333333,-6.48388888888889
36,MoonPlusEMinusI,Top,63.8566287478803,3.76070280889509,53.0188888888889,-6.48444444444444
37,MoonPlusEMinusI,Top,296.895997315061,3.26068537181696,52.9969444444444,-6.61777777777778
38,MoonPlusEMinusI,Centre,296.514476301702,3.21130018811629,52.9969444444444,-6.61777777777778
39,MoonPlusEMinusI,Bottom,296.139059105757,3.15834455088896,52.9966666666667,-6.61777777777778
40,MoonPlusEPlusI,Bottom,49.0707026080315,5.74461537057254,53.0105555555556,-6.54527777777778
41,MoonPlusEPlusI,Centre,48.7096971682271,5.82834415395791,53.0108333333333,-6.54527777777778
42,MoonPlusEPlusI,Top,48.35561650265,5.9167709012731,53.0108333333333,-6.54583333333333
43,MoonPlusEPlusI,Top,318.552727467343,2.20981133068709,53.005,-6.61333333333333
44,MoonPlusEPlusI,Centre,317.884027004679,2.26042026827262,53.005,-6.61361111111111
45,MoonPlusEPlusI,Bottom,317.207753068216,2.31836352178592,53.0047222222222,-6.61416666666667
46,CrossQuarterSun1,Bottom,66.777118591105,3.80975388979945,53.0158333333333,-6.48111111111111
47,CrossQuarterSun1,Centre,66.3422277113384,3.82893520169175,53.0161111111111,-6.48166666666667
48,CrossQuarterSun1,Top,65.9012290780465,3.84454011549199,53.0166666666667,-6.48194444444444
49,CrossQuarterSun1,Top,295.32107533455,3.02822551255836,52.9963888888889,-6.61777777777778
50,CrossQuarterSun1,Centre,294.952645490535,2.96239951684809,52.9963888888889,-6.61833333333333
51,CrossQuarterSun1,Bottom,294.603527195764,2.88426006279979,52.9963888888889,-6.61833333333333
52,CrossQuarterSun2,Bottom,125.367149977007,3.90193487903614,52.9558333333333,-6.51277777777778
53,CrossQuarterSun2,Centre,124.948980204856,3.96026624379167,52.9561111111111,-6.5125
54,CrossQuarterSun2,Top,124.557629853962,4.03347464669046,52.9563888888889,-6.51222222222222
55,CrossQuarterSun2,Top,236.309821931837,3.5257151631457,52.9711111111111,-6.63083333333333
56,CrossQuarterSun2,Centre,235.781908578362,3.53497792437656,52.9708333333333,-6.63055555555556
57,CrossQuarterSun2,Bottom,235.254516363488,3.54242768448054,52.97,-6.63166666666667
58,CrossQuarterSun2,Bottom,235.254516363488,3.54242768448054,52.97,-6.63166666666667
59,CrossQuarterSun2,Bottom,235.240874427172,3.55033902364314,52.97,-6.63166666666667
