Number,Height,TopCentreBottom,Azimuth,Elevation,Latitude,Longitude
0,WinterSolsticeSun,Bottom,134.134255669665,0.919274081994032,52.96,-6.49777777777778
1,WinterSolsticeSun,Centre,133.746703117905,1.00268160652988,52.9580555555556,-6.49027777777778
2,WinterSolsticeSun,Top,133.324838418375,1.06927966734353,52.9591666666667,-6.48777777777778
3,WinterSolsticeSun,Top,228.670925306648,0.117738812211806,52.9375,-7.17027777777778
4,WinterSolsticeSun,Centre,228.161497505489,0.101673222340978,52.9347222222222,-7.16888888888889
5,WinterSolsticeSun,Bottom,227.579870981797,0.117755559633955,52.9291666666667,-7.17138888888889
6,SummerSolsticeSun,Bottom,46.6147838147993,-0.115535057543133,53.2877777777778,-6.52777777777778
7,SummerSolsticeSun,Centre,46.1124760203816,-0.0889264042004742,53.2888888888889,-6.53055555555556
8,SummerSolsticeSun,Top,45.5842353847808,-0.0723853028034074,53.2894444444444,-6.53444444444444
9,SummerSolsticeSun,Top,314.080679328527,0.0764426560994095,53.205,-6.9175
10,SummerSolsticeSun,Centre,313.626077581139,0.0279922245327538,53.2044444444444,-6.91833333333333
11,SummerSolsticeSun,Bottom,313.110307917344,0.00834059700381514,53.2044444444444,-6.92027777777778
12,EquinoxSun,Bottom,90.9534007771625,0.809400920097391,53.13,-6.32388888888889
13,EquinoxSun,Bottom,90.9400654224229,0.800667147898566,53.13,-6.32388888888889
14,EquinoxSun,Bottom,90.9400654224229,0.800667147898566,53.13,-6.32444444444444
15,EquinoxSun,Centre,90.4733726056768,0.786197818087686,53.1322222222222,-6.32361111111111
16,EquinoxSun,Top,89.846670922366,0.66749329300378,53.1355555555556,-6.32583333333333
17,EquinoxSun,Top,271.440178272888,-0.146336962211656,53.1447222222222,-7.56722222222222
18,EquinoxSun,Centre,271.013463865347,-0.157491637237529,53.1413888888889,-7.57111111111111
19,EquinoxSun,Bottom,270.50006607367,-0.114777526400832,53.1372222222222,-7.60166666666667
20,MoonMinusEMinusI,Bottom,147.159104633879,0.487045119291057,52.9372222222222,-6.58527777777778
21,MoonMinusEMinusI,Centre,146.751915830317,0.585412993524335,52.9372222222222,-6.58194444444444
22,MoonMinusEMinusI,Top,146.350298127594,0.685380796735214,52.9372222222222,-6.57861111111111
23,MoonMinusEMinusI,Top,215.539118287059,0.00929777001547084,52.8930555555556,-7.08444444444444
24,MoonMinusEMinusI,Centre,214.954686692682,-0.0156664185468845,52.8902777777778,-7.08138888888889
25,MoonMinusEMinusI,Bottom,214.197614461933,0.0172848953424327,52.8894444444444,-7.07444444444444
26,MoonMinusEPlusI,Bottom,125.751853195701,1.10882185108678,53.0241666666667,-6.54055555555556
27,MoonMinusEPlusI,Centre,125.084786498487,1.01980863679401,53.0011111111111,-6.48055555555556
28,MoonMinusEPlusI,Top,124.673590005033,1.06688443631061,53.0027777777778,-6.47944444444444
29,MoonMinusEPlusI,Top,237.140474733876,0.10101610311383,52.9547222222222,-7.26
30,MoonMinusEPlusI,Centre,236.728759953911,0.061275879980025,52.9519444444444,-7.26
31,MoonMinusEPlusI,Bottom,236.290818389408,0.0345508767206337,52.9491666666667,-7.25916666666667
32,MoonPlusEMinusI,Bottom,59.1984789748306,0.369003750329915,53.2488888888889,-6.47888888888889
33,MoonPlusEMinusI,Centre,58.6136943353,0.310323278576404,53.2525,-6.47611111111111
34,MoonPlusEMinusI,Top,58.0559398253743,0.268012965536267,53.2555555555556,-6.475
35,MoonPlusEMinusI,Top,302.54863863746,-0.0534209133478034,53.1916666666667,-6.94444444444444
36,MoonPlusEMinusI,Centre,302.117107972895,-0.0805556913198456,53.1911111111111,-6.94555555555556
37,MoonPlusEMinusI,Bottom,301.685061962002,-0.106710506597208,53.1905555555556,-6.94611111111111
38,MoonPlusEPlusI,Bottom,36.567613477902,-0.256442629363723,53.5680555555556,-6.25611111111111
39,MoonPlusEPlusI,Centre,35.9495943318378,-0.24899248884546,53.5736111111111,-6.26138888888889
40,MoonPlusEPlusI,Top,35.2129974187064,-0.281379483440488,53.4602777777778,-6.41222222222222
41,MoonPlusEPlusI,Top,324.680396032304,-0.243082198667455,53.5658333333333,-7.31222222222222
42,MoonPlusEPlusI,Centre,324.097043453332,-0.266017040129267,53.4908333333333,-7.23083333333333
43,MoonPlusEPlusI,Bottom,323.432386522098,-0.256442629363717,53.3391666666667,-7.05083333333333
44,CrossQuarterSun1,Bottom,61.113300078333,0.319855034581995,53.2388888888889,-6.48388888888889
45,CrossQuarterSun1,Centre,60.7269677092483,0.375617660382554,53.2438888888889,-6.47333333333333
46,CrossQuarterSun1,Top,60.3610870494216,0.443393084761816,53.2452777777778,-6.47416666666667
47,CrossQuarterSun1,Top,300.701696584519,-0.132524408425027,53.1861111111111,-6.93944444444444
48,CrossQuarterSun1,Centre,300.175531231507,-0.114782236419251,53.1855555555556,-6.94083333333333
49,CrossQuarterSun1,Bottom,299.668973910315,-0.106442732567866,53.185,-6.94277777777778
50,CrossQuarterSun2,Bottom,120.587831164014,1.05162031231768,53.0125,-6.45277777777778
51,CrossQuarterSun2,Centre,120.168833127604,1.0937037675885,53.0144444444444,-6.45277777777778
52,CrossQuarterSun2,Top,119.709161162368,1.11177922573577,53.0172222222222,-6.45388888888889
53,CrossQuarterSun2,Top,242.484509284087,-0.124109391549021,52.9952777777778,-7.2425
54,CrossQuarterSun2,Centre,242.064418329202,-0.157612227285798,52.9941666666667,-7.23805555555556
55,CrossQuarterSun2,Bottom,241.565157022597,-0.148184373114771,52.9880555555556,-7.24777777777778
