Number,Height,TopCentreBottom,Azimuth,Elevation,Latitude,Longitude
0,WinterSolsticeSun,Bottom,138.944683786462,3.07594647379158,53.2244444444444,-6.31222222222222
1,WinterSolsticeSun,Centre,138.437795925045,3.12636971901183,53.2261111111111,-6.31361111111111
2,WinterSolsticeSun,Top,137.950485341692,3.1841779089359,53.2258333333333,-6.31194444444444
3,WinterSolsticeSun,Top,218.556662129334,4.75119641100859,53.2538888888889,-6.395
4,WinterSolsticeSun,Centre,217.930966447131,4.73604975373981,53.2536111111111,-6.39472222222222
5,WinterSolsticeSun,Bottom,217.341416227657,4.70258038469299,53.2536111111111,-6.39444444444444
6,SummerSolsticeSun,Bottom,45.8264192273371,-0.389319374468055,53.581909546179,-5.82978360722278
7,SummerSolsticeSun,Centre,45.2502149236551,-0.391370897133894,53.5851713835843,-5.83509600465298
8,SummerSolsticeSun,Top,44.9444862137349,-0.27418332967265,53.4861111111111,-6.00944444444444
9,SummerSolsticeSun,Top,314.914145960064,-0.21282450198108,53.4647222222222,-6.70777777777778
10,SummerSolsticeSun,Centre,314.325453055452,-0.205480981603537,53.4633333333333,-6.71222222222222
11,SummerSolsticeSun,Bottom,313.742571513629,-0.198636966531402,53.4616666666667,-6.71611111111111
12,EquinoxSun,Bottom,89.3647093666064,-0.196378661135253,53.2697222222222,-6.10722222222222
13,EquinoxSun,Centre,88.7576560837835,-0.295958036131871,53.2713888888889,-6.10111111111111
14,EquinoxSun,Centre,88.7442951781979,-0.304231632530521,53.2713888888889,-6.10111111111111
15,EquinoxSun,Centre,88.7442951781979,-0.304231632530521,53.2713888888889,-6.10277777777778
16,EquinoxSun,Top,88.1772879388876,-0.379209393153782,53.2730555555556,-6.10805555555556
17,EquinoxSun,Top,268.783535761745,1.57679315226381,53.2677777777778,-6.39888888888889
18,EquinoxSun,Centre,268.156328610449,1.70011073737404,53.2677777777778,-6.39888888888889
19,EquinoxSun,Bottom,267.575840179846,1.79183645202649,53.2675,-6.39888888888889
20,MoonMinusEMinusI,Bottom,152.244074415468,2.06767423239275,53.2413888888889,-6.35222222222222
21,MoonMinusEMinusI,Centre,151.678198603534,2.1431417653862,53.2411111111111,-6.35138888888889
22,MoonMinusEMinusI,Top,151.165827649829,2.23350158700772,53.2408333333333,-6.35083333333333
23,MoonMinusEMinusI,Top,203.337506445512,3.87710667915169,53.2508333333333,-6.38833333333333
24,MoonMinusEMinusI,Centre,202.711423905882,3.78498415727799,53.2508333333333,-6.38805555555556
25,MoonMinusEMinusI,Bottom,202.07338609434,3.69234219295768,53.2505555555556,-6.38777777777778
26,MoonMinusEPlusI,Bottom,130.238462296471,3.43602739325933,53.2505555555556,-6.34083333333333
27,MoonMinusEPlusI,Centre,129.829277609748,3.50329378409234,53.2505555555556,-6.34055555555556
28,MoonMinusEPlusI,Top,129.384867121336,3.55092731344944,53.2508333333333,-6.34055555555556
29,MoonMinusEPlusI,Top,227.371829962761,5.24811639619671,53.2586111111111,-6.39333333333333
30,MoonMinusEPlusI,Centre,226.885484346572,5.20940184971742,53.2583333333333,-6.39361111111111
31,MoonMinusEPlusI,Bottom,226.364685976936,5.18647642960302,53.2583333333333,-6.39361111111111
32,MoonPlusEMinusI,Bottom,57.9820421436646,-0.22436979608953,53.3780555555556,-6.08027777777778
33,MoonPlusEMinusI,Centre,57.2296458108903,-0.363952286771908,53.3819444444444,-6.07888888888889
34,MoonPlusEMinusI,Centre,57.2162820999952,-0.370934220810685,53.3819444444444,-6.07888888888889
35,MoonPlusEMinusI,Centre,57.2095999476286,-0.374425974921098,53.38,-6.08388888888889
36,MoonPlusEMinusI,Top,56.6914389925009,-0.389910365841053,53.5146969287817,-5.74052081602077
37,MoonPlusEMinusI,Top,302.887914260285,-0.171534515037865,53.4136111111111,-6.755
38,MoonPlusEMinusI,Centre,302.389819362329,-0.165337980462768,53.4052777777778,-6.74
39,MoonPlusEMinusI,Bottom,301.891189780569,-0.157815627824864,53.4047222222222,-6.74555555555556
40,MoonPlusEPlusI,Bottom,35.9602614064254,-0.390931923404557,53.6332123678017,-5.92826946222598
41,MoonPlusEPlusI,Centre,35.3089055857135,-0.391446671962231,53.6362257468522,-5.93526915152797
42,MoonPlusEPlusI,Top,34.6522538695099,-0.390668153291306,53.6392291474217,-5.94241789667061
43,MoonPlusEPlusI,Top,324.740208063971,-0.174924964574956,53.4791666666667,-6.62666666666667
44,MoonPlusEPlusI,Centre,324.136903539649,-0.1915435321053,53.4727777777778,-6.62472222222222
45,MoonPlusEPlusI,Bottom,323.5589246442,-0.214876846212193,53.4861111111111,-6.64666666666667
46,CrossQuarterSun1,Bottom,60.2089502071256,-0.11661088134504,53.3727777777778,-6.06861111111111
